,center,steering
101,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_51_193.jpg,-0.25
102,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_51_260.jpg,-0.32764190000000004
103,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_51_333.jpg,-0.08331793
105,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_51_473.jpg,-0.05
106,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_51_541.jpg,-0.2
107,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_51_617.jpg,-0.200166
110,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_51_836.jpg,0.0
116,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_52_268.jpg,-0.2
117,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_52_337.jpg,-0.3031508
118,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_52_410.jpg,-0.05423897
127,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_53_062.jpg,-0.05
128,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_53_136.jpg,-0.2449459
133,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_53_495.jpg,0.0
135,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_53_641.jpg,0.0
138,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_53_850.jpg,-0.2
139,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_53_922.jpg,-0.35
140,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_53_998.jpg,-0.3016789
141,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_54_072.jpg,-0.04957345
148,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_54_573.jpg,0.0
155,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_55_070.jpg,0.0
157,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_55_213.jpg,0.0
159,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_55_362.jpg,0.0
164,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_55_720.jpg,-0.1
165,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_55_789.jpg,-0.3
166,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_55_857.jpg,-0.45
167,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_55_929.jpg,-0.3062583
168,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_56_003.jpg,-0.08345101
175,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_56_489.jpg,0.2
176,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_56_560.jpg,0.1286115
181,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_56_907.jpg,-0.08330809
189,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_57_595.jpg,-0.45
190,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_57_658.jpg,-0.3825336
191,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_57_727.jpg,-0.1330441
197,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_58_137.jpg,0.1
198,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_58_206.jpg,0.3
199,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_58_274.jpg,0.31132519999999997
200,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_58_349.jpg,0.065304
201,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_58_421.jpg,0.0
214,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_59_329.jpg,0.0
217,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_59_542.jpg,-0.05
221,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_59_826.jpg,-0.05
222,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_59_893.jpg,-0.2
223,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_11_59_965.jpg,-0.0687021
224,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_00_035.jpg,0.0
229,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_00_379.jpg,-0.05
230,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_00_448.jpg,-0.25
231,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_00_518.jpg,-0.1221219
233,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_00_658.jpg,0.0
236,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_00_868.jpg,-0.15
237,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_00_938.jpg,-0.2333759
238,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_01_007.jpg,-0.001612199
254,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_02_158.jpg,0.0
255,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_02_231.jpg,-0.1
256,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_02_302.jpg,-0.25
257,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_02_372.jpg,-0.0016762839999999999
264,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_02_861.jpg,0.0
265,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_02_932.jpg,0.0
266,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_03_001.jpg,-0.05
267,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_03_072.jpg,-0.2350399
268,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_03_141.jpg,-0.05471313
278,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_03_827.jpg,0.0
279,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_03_897.jpg,0.0
291,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_04_732.jpg,-0.1
292,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_04_799.jpg,-0.10918610000000001
298,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_05_226.jpg,0.0
304,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_05_659.jpg,0.0
311,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_06_152.jpg,0.0
313,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_06_287.jpg,-0.1
314,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_06_361.jpg,-0.2003791
321,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_06_850.jpg,-0.15
322,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_06_917.jpg,-0.2010195
325,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_07_136.jpg,0.0
326,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_07_206.jpg,0.1
327,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_07_276.jpg,0.05727987
328,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_07_345.jpg,0.0
339,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_08_113.jpg,0.0
343,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_08_386.jpg,0.0
353,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_09_107.jpg,0.0
354,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_09_244.jpg,-0.25
355,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_09_316.jpg,-0.4573151
356,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_09_387.jpg,-0.22021220000000002
357,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_09_454.jpg,-0.04696485
360,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_09_668.jpg,0.05
361,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_09_736.jpg,0.2
362,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_09_804.jpg,0.14988929999999998
365,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_10_008.jpg,0.0
367,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_10_150.jpg,0.0
371,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_10_455.jpg,0.1
372,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_10_524.jpg,0.1359977
380,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_11_105.jpg,-0.2
381,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_11_186.jpg,-0.08808068
388,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_11_680.jpg,0.0
406,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_12_958.jpg,-0.2
407,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_13_034.jpg,-0.001154052
413,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_13_460.jpg,-0.05
414,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_13_533.jpg,-0.05517991
422,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_14_100.jpg,0.0
423,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_14_172.jpg,-0.1
432,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_14_852.jpg,-0.2
433,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_14_924.jpg,-0.06382602
438,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_15_277.jpg,0.0
439,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_15_346.jpg,-0.05
440,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_15_420.jpg,-0.2
441,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_15_496.jpg,-0.1614014
448,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_15_995.jpg,-0.05
460,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_16_993.jpg,-0.05
461,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_17_066.jpg,-0.25
462,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_17_136.jpg,-0.1623461
477,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_18_176.jpg,0.0
485,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_18_739.jpg,-0.05
486,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_18_809.jpg,-0.25
487,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_18_882.jpg,-0.08598813
490,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_19_092.jpg,0.0
495,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_19_451.jpg,-0.15
496,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_19_523.jpg,-0.28032229999999997
497,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_19_594.jpg,-0.06638782
500,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_19_813.jpg,-0.1
501,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_19_881.jpg,-0.0884206
506,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_20_244.jpg,-0.15
507,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_20_311.jpg,-0.3
508,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_20_379.jpg,-0.1916862
509,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_20_454.jpg,0.0
515,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_20_868.jpg,-0.2
516,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_20_939.jpg,-0.205132
530,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_21_931.jpg,-0.15
531,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_21_999.jpg,-0.1764287
532,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_22_073.jpg,0.0
538,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_22_492.jpg,-0.05
539,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_22_567.jpg,-0.25
540,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_22_640.jpg,-0.3423059
541,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_22_715.jpg,-0.09517619999999999
544,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_22_930.jpg,0.0
545,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_23_003.jpg,-0.05
546,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_23_075.jpg,-0.2
547,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_23_149.jpg,-0.1401458
551,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_23_432.jpg,-0.05
552,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_23_505.jpg,-0.25
553,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_23_576.jpg,-0.07101387
555,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_23_781.jpg,-0.15
556,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_23_853.jpg,-0.225794
558,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_23_998.jpg,0.0
559,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_24_070.jpg,0.0
560,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_24_143.jpg,-0.1
561,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_24_216.jpg,-0.25
562,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_24_289.jpg,-0.34267529999999996
563,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_24_356.jpg,-0.16931960000000001
566,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_24_575.jpg,-0.2
567,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_24_647.jpg,-0.2928112
568,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_24_719.jpg,-0.101338
571,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_24_938.jpg,-0.05
572,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_25_011.jpg,-0.253262
573,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_25_086.jpg,-0.009710268000000001
579,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_25_513.jpg,-0.05
580,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_25_585.jpg,-0.25
581,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_25_657.jpg,-0.1209359
585,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_25_947.jpg,0.0
588,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_26_152.jpg,-0.05
589,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_26_221.jpg,-0.2
590,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_26_293.jpg,-0.4
591,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_26_364.jpg,-0.6000001
592,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_26_434.jpg,-0.7500001999999999
593,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_26_502.jpg,-0.6880319
594,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_26_572.jpg,-0.4563951
595,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_26_646.jpg,-0.2151169
596,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_26_716.jpg,-0.02929706
597,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_26_786.jpg,0.1
598,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_26_859.jpg,0.25
599,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_26_931.jpg,0.02906417
617,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_28_200.jpg,0.0
630,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_29_116.jpg,-0.15
631,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_29_189.jpg,-0.35
632,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_29_256.jpg,-0.24203690000000003
633,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_29_323.jpg,-0.01741297
634,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_29_393.jpg,0.0
635,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_29_467.jpg,-0.05
636,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_29_542.jpg,-0.176239
642,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_29_954.jpg,-0.15
643,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_30_022.jpg,-0.3
644,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_30_091.jpg,-0.5000001000000001
645,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_30_160.jpg,-0.5365243000000001
646,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_30_228.jpg,-0.2816858
647,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_30_301.jpg,-0.1177989
649,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_30_448.jpg,0.0
661,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_31_287.jpg,-0.2
662,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_31_355.jpg,-0.1573777
677,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_32_391.jpg,-0.1
678,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_32_458.jpg,-0.2500055
679,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_32_526.jpg,-0.026740100000000003
685,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_32_956.jpg,0.0
686,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_33_026.jpg,0.0
687,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_33_095.jpg,0.0
689,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_33_238.jpg,0.1
690,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_33_306.jpg,0.07549702
693,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_33_536.jpg,0.0
694,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_33_599.jpg,0.0
707,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_34_501.jpg,0.0
710,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_34_721.jpg,-0.15
711,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_34_789.jpg,-0.2535995
712,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_34_863.jpg,-0.08172913
718,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_35_298.jpg,0.0
720,C:\Users\Administrator\Desktop\new_track\IMG\center_2020_08_23_17_12_35_437.jpg,0.1
